Customer Id,YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,NumberOfWindows,Geo_Code,Claim
H7110,2016,0.5,0,N,V,V,U,1617.0,Ordinary,without,64189,non
H14085,2014,1.0,1,N,V,V,U,600.0,Ordinary,without,92026,oui
H17148,2013,0.5,1,V,N,O,R,2400.0,Non-combustible,7,95428,non
H13687,2014,1.0,0,N,V,V,U,1463.0,Ordinary,without,33063,oui
H5655,2013,1.0,0,V,V,V,U,550.0,Wood-framed,without,75114,non
H5470,2012,1.0,0,V,V,V,U,1670.0,Fire-resistive,without,46042,non
H15110,2013,0.5,0,V,N,O,R,470.0,Non-combustible,2,38507,non
H15293,2012,1.0,0,V,N,O,R,3300.0,Fire-resistive,3,74224,oui
H16085,2015,1.0,0,V,N,O,R,2250.0,Fire-resistive,3,63075,oui
H13341,2013,0.5,0,N,V,V,U,8982.0,Non-combustible,without,83118,non
H3246,2014,0.5,0,V,V,V,U,220.0,Non-combustible,without,83119,non
H18011,2013,1.0,0,V,N,O,R,2000.0,Non-combustible,4,64024,non
H18574,2013,1.0,0,V,N,O,R,1800.0,Ordinary,1,2A247,non
H7471,2015,1.0,1,N,V,V,U,418.0,Wood-framed,without,75117,non
H15743,2012,1.0,0,V,N,O,R,2910.0,Ordinary,8,92025,oui
H1886,2015,1.0,0,V,V,V,U,4035.0,Non-combustible,without,34032,non
H13048,2014,1.0,0,V,N,O,R,3200.0,Ordinary,5,54395,non
H4838,2013,1.0,1,V,N,O,R,980.0,Non-combustible,3,68120,oui
H16380,2016,0.5,0,V,N,O,R,800.0,Non-combustible,3,68297,non
H4878,2016,0.5,0,V,N,O,R,4228.0,Non-combustible,4,29105,non
H18360,2012,0.5,0,V,N,O,R,1000.0,Non-combustible,5,13205,non
H618,2015,1.0,1,V,V,V,U,200.0,Wood-framed,without,75115,non
H13305,2014,1.0,1,N,V,V,U,630.0,Wood-framed,without,75120,non
H15953,2015,1.0,0,V,N,O,R,600.0,Fire-resistive,3,21054,non
H17750,2015,1.0,1,V,N,O,R,10438.0,Non-combustible,4,66136,non
H17611,2015,1.0,0,V,N,O,R,1171.0,Non-combustible,2,62645,non
H17504,2012,1.0,1,V,N,O,R,1211.0,Fire-resistive,3,33199,non
H14249,2012,1.0,0,N,V,V,U,1950.0,Wood-framed,without,6161,non
H18426,2012,0.5,0,V,N,O,R,9481.0,Ordinary,4,94004,non
H3027,2014,0.5,0,V,V,V,U,825.0,Non-combustible,without,76552,non
H4151,2014,1.0,0,V,V,V,U,5214.0,Fire-resistive,without,74056,non
H18783,2014,1.0,0,V,N,O,R,2056.0,Fire-resistive,5,73128,non
H2028,2013,1.0,0,V,N,O,R,296.0,Non-combustible,4,76351,non
H6084,2012,0.5,0,N,V,V,U,60.0,Non-combustible,without,38052,non
H15384,2012,1.0,1,V,N,O,R,15026.0,Non-combustible,>=10,76681,non
H5291,2012,1.0,0,N,V,V,U,1250.0,Fire-resistive,without,71270,non
H3873,2014,1.0,0,V,V,V,U,380.0,Fire-resistive,without,91174,non
H5794,2012,1.0,0,V,V,V,U,370.0,Non-combustible,without,13203,non
H4765,2014,1.0,0,N,V,V,U,720.0,Non-combustible,without,38095,non
H17660,2013,0.5,1,V,N,O,R,1799.0,Non-combustible,6,69387,oui
H3377,2013,0.5,1,V,V,V,U,2100.0,Non-combustible,without,14338,non
H6844,2015,1.0,1,N,V,V,U,401.0,Non-combustible,without,13207,non
H18846,2013,1.0,0,V,N,O,R,202.0,Fire-resistive,3,10387,non
H7359,2015,1.0,1,V,V,V,U,1430.0,Non-combustible,without,83137,non
H4454,2012,1.0,1,N,V,V,U,600.0,Ordinary,without,33063,non
H15867,2013,0.5,0,V,N,O,R,3350.0,Non-combustible,5,62826,non
H13432,2013,0.5,1,V,N,O,R,1152.0,Non-combustible,4,83123,non
H17475,2012,1.0,1,V,N,O,R,3887.0,Fire-resistive,3,91044,non
H1481,2013,0.5,0,N,V,V,U,400.0,Non-combustible,without,13204,non
H19798,2016,0.5,0,V,N,O,R,715.0,Non-combustible,4,76217,non
H6440,2016,0.5,0,V,N,O,R,4300.0,Wood-framed,6,6083,non
H2559,2013,1.0,0,N,V,V,U,610.0,Non-combustible,without,13204,non
H5255,2014,1.0,0,V,V,V,U,442.0,Non-combustible,without,31555,non
H17957,2012,0.5,0,V,N,O,R,350.0,Wood-framed,4,6088,non
H6281,2014,1.0,0,V,V,V,U,3919.0,Fire-resistive,without,54159,non
H7195,2015,1.0,0,N,V,V,U,900.0,Non-combustible,without,13207,non
H17453,2014,0.5,0,V,N,O,R,100.0,Non-combustible,4,62193,non
H16343,2015,1.0,0,V,N,O,R,2910.0,Fire-resistive,7,74224,non
H3282,2014,1.0,0,V,V,V,U,673.0,Non-combustible,without,63113,non
H4882,2014,1.0,0,N,V,V,U,660.0,Non-combustible,without,13207,non
H15413,2013,1.0,1,V,N,O,R,200.0,Non-combustible,4,13204,non
H14167,2016,1.0,0,N,V,V,U,150.0,Non-combustible,without,13209,non
H16107,2015,0.5,1,V,N,O,R,891.0,Wood-framed,2,75120,non
H3654,2012,1.0,0,V,V,V,U,2090.0,Ordinary,without,64483,non
H6013,2014,1.0,0,V,V,V,U,600.0,Fire-resistive,without,88196,non
H15457,2012,1.0,0,V,N,O,R,2976.0,Wood-framed,4,6104,non
H18340,2013,1.0,1,V,N,O,R,400.0,Fire-resistive,4,44184,oui
H18040,2013,1.0,0,V,N,O,R,2773.0,Fire-resistive,5,36044,oui
H4839,2014,1.0,1,V,N,O,R,1050.0,Non-combustible,3,68120,non
H17764,2016,0.5,0,V,N,O,R,1626.0,Fire-resistive,2,2173,non
H133,2014,1.0,0,N,V,V,U,956.0,Non-combustible,without,64407,non
H4500,2016,0.5,0,V,V,V,U,1400.0,Fire-resistive,without,91174,non
H5744,2015,1.0,0,V,V,V,U,9609.0,Non-combustible,without,26108,non
H15411,2013,1.0,1,V,N,O,R,2556.0,Fire-resistive,3,13097,non
H5799,2012,1.0,0,V,V,V,U,147.0,Non-combustible,without,56034,non
H14758,2013,1.0,0,N,V,V,U,400.0,Ordinary,without,2B096,non
H17266,2013,1.0,0,V,N,O,R,1700.0,Non-combustible,2,83042,oui
H6641,2014,1.0,0,N,V,V,U,804.0,Non-combustible,without,67434,non
H15600,2013,1.0,0,V,N,O,R,1500.0,Ordinary,4,2A004,non
H16365,2013,1.0,0,V,V,V,U,,Non-combustible,without,,oui
H15120,2014,1.0,0,N,V,V,U,800.0,Non-combustible,without,59482,oui
H12623,2012,1.0,0,V,N,O,R,733.0,Ordinary,5,92036,non
H13101,2012,1.0,0,V,N,O,R,580.0,Non-combustible,3,60139,non
H1512,2014,1.0,0,V,N,O,R,900.0,Non-combustible,4,21231,non
H17687,2013,1.0,0,V,N,O,R,468.0,Fire-resistive,1,27229,non
H12664,2013,1.0,0,N,V,V,U,6850.0,Fire-resistive,without,74012,non
H12915,2015,1.0,0,N,V,V,U,940.0,Fire-resistive,without,74056,non
H5568,2013,1.0,1,V,V,V,U,1105.0,Non-combustible,without,69264,non
H1816,2016,1.0,1,V,N,O,R,480.0,Non-combustible,4,68066,non
H403,2015,1.0,0,V,V,V,U,3992.0,Fire-resistive,without,7010,non
H1952,2013,1.0,0,V,V,V,U,640.0,Ordinary,without,64483,non
H13526,2012,1.0,0,V,N,O,R,4600.0,Non-combustible,5,38169,non
H14086,2015,1.0,0,N,V,V,U,400.0,Wood-framed,without,6030,non
H502,2012,1.0,0,V,V,V,U,591.0,Non-combustible,without,21231,non
H5425,2015,1.0,0,N,V,V,U,1568.0,Ordinary,without,92004,non
H18611,2012,0.5,1,V,N,O,R,2110.0,Ordinary,6,92012,non
H18715,2014,1.0,0,V,N,O,R,925.0,Non-combustible,2,30133,non
H3983,2012,1.0,0,V,V,V,U,2900.0,Wood-framed,without,6083,oui
H14769,2012,0.5,1,N,V,V,U,12448.0,Non-combustible,without,31187,oui
H13589,2014,1.0,0,N,V,V,U,600.0,Non-combustible,without,64122,non
H19461,2015,1.0,0,V,N,O,R,2444.0,Fire-resistive,5,2059,non
H6701,2016,0.5,0,V,N,O,R,2857.0,Wood-framed,7,6083,oui
H17643,2013,0.5,0,V,N,O,R,4846.0,Non-combustible,6,69069,oui
H13096,2012,1.0,0,N,V,V,U,620.0,Non-combustible,without,78646,non
H5164,2013,1.0,0,V,N,O,R,700.0,Non-combustible,5,13205,non
H13118,2012,1.0,0,N,V,V,U,10840.0,Non-combustible,without,14701,oui
H16040,2012,1.0,0,V,N,O,R,1450.0,Ordinary,5,92051,non
H6041,2012,1.0,1,V,V,V,U,202.0,Fire-resistive,without,37132,non
H13638,2014,1.0,1,V,N,O,R,738.0,Non-combustible,3,34108,non
H2139,2012,1.0,0,V,V,V,U,250.0,Fire-resistive,without,91223,non
H5145,2016,0.5,0,N,V,V,U,240.0,Non-combustible,without,13206,non
H13740,2012,1.0,0,N,V,V,U,462.0,Non-combustible,without,29019,oui
H4606,2016,1.0,0,N,V,V,U,145.0,Non-combustible,without,62108,non
H1517,2012,1.0,1,V,V,V,U,3858.0,Fire-resistive,without,73304,non
H18132,2015,1.0,1,V,N,O,R,2128.0,Ordinary,4,92050,non
H16571,2015,1.0,1,V,N,O,R,3182.0,Ordinary,3,33069,oui
H2044,2012,1.0,0,V,V,V,U,2600.0,Non-combustible,without,13206,oui
H5755,2015,1.0,0,V,V,V,U,8796.0,Fire-resistive,without,21278,oui
H5483,2016,1.0,0,V,N,O,R,550.0,Fire-resistive,1,17297,non
H2255,2013,1.0,0,V,N,O,R,1700.0,Non-combustible,4,34172,non
H13219,2016,1.0,1,N,V,V,U,150.0,Non-combustible,without,62108,non
H18882,2015,1.0,0,V,N,O,R,812.0,Ordinary,4,92071,non
H16720,2014,1.0,0,V,N,O,R,5127.0,Fire-resistive,7,74224,non
H18104,2014,0.5,1,V,N,O,R,715.0,Ordinary,6,92049,non
H19057,2012,0.5,0,V,N,O,R,1300.0,Ordinary,5,59350,non
H14409,2012,1.0,0,N,V,V,U,2208.0,Fire-resistive,without,13071,oui
H3145,2013,1.0,0,V,V,V,U,1524.0,Fire-resistive,without,53130,oui
H16965,2014,1.0,1,V,N,O,R,820.0,Wood-framed,6,75117,oui
H16779,2013,1.0,1,V,N,O,R,2520.0,Wood-framed,7,75117,non
H1499,2012,1.0,0,V,N,O,R,2280.0,Non-combustible,9,13207,non
H4037,2012,1.0,0,V,V,V,U,2733.0,Fire-resistive,without,74093,non
H19002,2014,1.0,1,V,N,O,R,6000.0,Ordinary,4,94052,oui
H17501,2013,1.0,0,V,N,O,R,1466.0,Non-combustible,4,60346,oui
H14143,2012,0.5,1,N,V,V,U,1.0,Wood-framed,without,6089,non
H15352,2016,0.5,1,V,N,O,R,2658.0,Fire-resistive,5,74014,non
H16834,2012,1.0,0,V,N,O,R,180.0,Non-combustible,2,78124,oui
H16483,2012,1.0,0,V,N,O,R,1031.0,Non-combustible,3,83129,non
H3481,2015,0.5,0,V,V,V,U,300.0,Fire-resistive,without,5026,non
H6042,2012,1.0,1,V,N,O,R,6317.0,Fire-resistive,5,8409,oui
H5526,2013,1.0,0,N,V,V,U,850.0,Ordinary,without,64445,non
H19926,2016,0.5,1,V,N,O,R,500.0,Ordinary,2,33063,non
H7223,2016,0.5,0,V,N,O,R,2100.0,Non-combustible,8,13207,non
H539,2016,1.0,0,V,N,O,R,590.0,Non-combustible,5,76351,non
H3899,2012,1.0,1,V,V,V,U,280.0,Non-combustible,without,56083,non
H18873,2014,0.5,1,V,N,O,R,1015.0,Ordinary,5,92012,oui
H2293,2016,0.5,0,V,V,V,U,540.0,Non-combustible,without,13216,non
H14871,2015,0.5,0,N,V,V,U,3140.0,Ordinary,without,94058,non
H5266,2016,0.5,0,N,V,V,U,1200.0,Fire-resistive,without,19031,non
H4330,2015,1.0,1,N,V,V,U,400.0,Non-combustible,without,76540,non
H18552,2014,1.0,0,V,N,O,R,550.0,Non-combustible,1,31555,non
H15905,2015,0.5,0,V,N,O,R,3575.0,Fire-resistive,5,45155,non
H16990,2014,1.0,0,V,N,O,R,750.0,Fire-resistive,3,35288,non
H6965,2013,1.0,0,V,V,V,U,1850.0,Fire-resistive,without,12202,oui
H4438,2016,0.5,0,N,V,V,U,600.0,Fire-resistive,without,3095,non
H4771,2015,1.0,0,V,N,O,R,2100.0,Wood-framed,6,6104,non
H13816,2013,1.0,0,V,N,O,R,800.0,Non-combustible,3,13211,non
H3845,2013,1.0,0,V,V,V,U,1151.0,Non-combustible,without,69091,non
H4475,2014,1.0,0,V,V,V,U,7887.0,Wood-framed,without,6032,oui
H13960,2013,1.0,0,N,V,V,U,260.0,Fire-resistive,without,91326,non
H16899,2012,1.0,0,V,N,O,R,499.0,Non-combustible,4,83050,non
H6660,2012,1.0,1,N,V,V,U,1800.0,Wood-framed,without,75114,non
H13327,2013,1.0,0,N,V,V,U,882.0,Ordinary,without,93029,non
H18817,2012,0.5,1,V,N,O,R,1061.0,Fire-resistive,4,84007,non
H2528,2014,1.0,0,V,V,V,U,1850.0,Fire-resistive,without,35288,non
H17756,2013,0.5,1,V,N,O,R,330.0,Non-combustible,5,13202,non
H17587,2013,1.0,1,V,N,O,R,938.0,Ordinary,2,94058,oui
H16353,2012,1.0,0,V,N,O,R,2423.0,Fire-resistive,5,42302,non
H1577,2013,1.0,1,V,V,V,U,850.0,Fire-resistive,without,73920,non
H379,2012,1.0,0,V,N,O,R,6500.0,Fire-resistive,5,36044,oui
H16082,2012,1.0,1,V,N,O,R,6600.0,Wood-framed,1,6088,oui
H6380,2014,1.0,0,V,N,O,R,400.0,Wood-framed,3,6085,non
H3668,2012,1.0,0,N,V,V,U,450.0,Non-combustible,without,13203,non
H14151,2014,1.0,0,N,V,V,U,600.0,Wood-framed,without,6088,non
H2488,2012,1.0,0,V,N,O,R,650.0,Non-combustible,6,63113,non
H18906,2016,0.5,1,V,N,O,R,5268.0,Non-combustible,5,95063,non
H15961,2014,1.0,0,V,N,O,R,4930.0,Non-combustible,5,63113,oui
H1940,2012,1.0,0,V,V,V,U,3150.0,Non-combustible,without,34902,oui
H3746,2014,1.0,0,V,N,O,R,2000.0,Fire-resistive,5,53130,non
H6317,2013,1.0,1,V,V,V,U,430.0,Non-combustible,without,83062,non
H16105,2013,1.0,0,V,N,O,R,540.0,Non-combustible,3,77215,non
H3687,2014,1.0,0,V,V,V,U,1700.0,Non-combustible,without,31555,non
H14402,2013,1.0,0,N,V,V,U,2270.0,Non-combustible,without,42218,non
H488,2014,0.5,0,V,V,V,U,300.0,Non-combustible,without,14437,non
H19271,2015,1.0,0,V,N,O,R,330.0,Non-combustible,2,13205,non
H1609,2012,1.0,0,V,V,V,U,300.0,Non-combustible,without,13203,non
H3280,2012,1.0,0,V,V,V,U,1500.0,Fire-resistive,without,7186,non
H4846,2013,0.5,0,V,V,V,U,480.0,Non-combustible,without,21231,non
H206,2015,1.0,1,V,V,V,U,2091.0,Wood-framed,without,75110,oui
H7187,2012,1.0,0,V,N,O,R,7660.0,Non-combustible,7,38563,non
H6482,2013,0.5,0,V,V,V,U,360.0,Non-combustible,without,80228,non
H6833,2012,1.0,0,N,V,V,U,443.0,Wood-framed,without,6128,non
H17348,2014,1.0,0,V,N,O,R,1350.0,Fire-resistive,3,91691,non
H18816,2013,0.5,1,V,N,O,R,5950.0,Non-combustible,3,30351,oui
H3596,2015,1.0,0,V,V,V,U,2960.0,Fire-resistive,without,5023,non
H3578,2013,0.5,0,V,V,V,U,450.0,Non-combustible,without,34172,non
H3945,2013,1.0,0,N,V,V,U,600.0,Fire-resistive,without,88160,non
H17848,2012,1.0,1,V,N,O,R,730.0,Non-combustible,5,83061,oui
H13624,2014,1.0,0,N,V,V,U,2400.0,Non-combustible,without,95394,non
H15630,2014,1.0,1,V,N,O,R,1380.0,Wood-framed,5,6012,non
H301,2012,1.0,0,V,V,V,U,460.0,Non-combustible,without,77131,non
H15195,2014,1.0,0,V,N,O,R,3269.0,Wood-framed,4,6070,oui
H15270,2013,1.0,1,V,N,O,R,1400.0,Non-combustible,5,83009,non
H4553,2016,1.0,0,V,V,V,U,1.0,Ordinary,without,92078,non
H3227,2012,0.5,0,V,V,V,U,390.0,Non-combustible,without,76351,oui
H14545,2015,1.0,1,N,V,V,U,705.0,Ordinary,without,92026,non
H15744,2013,1.0,0,V,N,O,R,2910.0,Ordinary,8,92025,non
H15507,2013,1.0,0,V,N,O,R,800.0,Non-combustible,3,83129,oui
H6910,2016,0.5,0,N,V,V,U,1688.0,Non-combustible,without,13001,non
H17154,2013,1.0,0,V,N,O,R,5100.0,Ordinary,3,94060,non
H16880,2015,1.0,1,V,N,O,R,2700.0,Ordinary,6,92032,oui
H1423,2014,1.0,0,V,N,O,R,1273.0,Non-combustible,7,21231,non
H14709,2016,0.5,0,N,V,V,U,544.0,Non-combustible,without,64249,non
H1994,2014,1.0,0,V,V,V,U,750.0,Non-combustible,without,69091,non
H5422,2013,1.0,1,V,V,V,U,2230.0,Non-combustible,without,83042,non
H19006,2014,1.0,1,V,N,O,R,2200.0,Wood-framed,7,75118,oui
H2562,2014,0.5,0,N,V,V,U,1100.0,Non-combustible,without,13206,non
H2427,2012,1.0,0,V,N,O,R,400.0,Fire-resistive,3,63014,non
H5817,2014,1.0,0,V,V,V,U,550.0,Non-combustible,without,38931,non
H18697,2015,1.0,0,V,N,O,R,7200.0,Non-combustible,>=10,13205,oui
H14834,2013,1.0,0,V,N,O,R,620.0,Ordinary,4,59599,non
H18280,2016,1.0,0,V,N,O,R,1080.0,Non-combustible,5,69091,non
H15689,2015,1.0,0,V,N,O,R,1890.0,Non-combustible,5,13204,non
H4722,2012,1.0,1,V,V,V,U,1190.0,Ordinary,without,93066,non
H15777,2013,1.0,0,V,N,O,R,620.0,Fire-resistive,4,86194,oui
H18562,2015,1.0,0,V,N,O,R,321.0,Non-combustible,3,13207,non
H5063,2015,1.0,1,N,V,V,U,500.0,Wood-framed,without,75102,non
H6125,2012,1.0,1,V,V,V,U,450.0,Non-combustible,without,51454,non
H5159,2013,1.0,1,V,N,O,R,900.0,Non-combustible,3,13213,non
H13053,2012,1.0,0,V,N,O,R,3326.0,Fire-resistive,4,1419,oui
H2618,2015,1.0,0,V,N,O,R,3500.0,Non-combustible,3,77514,non
H6228,2013,1.0,0,V,N,O,R,760.0,Non-combustible,4,34032,non
H3100,2015,1.0,0,V,N,O,R,3612.0,Non-combustible,9,26362,non
H15877,2013,1.0,1,V,N,O,R,909.0,Ordinary,6,67482,non
H4941,2012,1.0,1,V,V,V,U,1630.0,Wood-framed,without,75109,non
H15269,2012,1.0,0,V,N,O,R,4000.0,Non-combustible,3,31555,oui
H5696,2014,0.5,1,V,V,V,U,595.0,Ordinary,without,94041,non
H5244,2016,0.5,0,V,N,O,R,5013.0,Fire-resistive,7,74133,non
H16392,2013,1.0,1,V,N,O,R,630.0,Non-combustible,4,66147,oui
H14787,2013,0.5,1,N,V,V,U,300.0,Ordinary,without,59350,non
H16702,2015,0.5,1,V,N,O,R,5100.0,Non-combustible,6,67218,non
H16934,2015,1.0,1,V,N,O,R,500.0,Non-combustible,2,40046,non
H13942,2013,1.0,0,N,V,V,U,140.0,Non-combustible,without,38408,non
H17602,2015,1.0,1,V,N,O,R,7246.0,Wood-framed,8,75117,non
H15104,2012,1.0,0,V,N,O,R,600.0,Non-combustible,2,31555,oui
H4292,2012,1.0,0,V,N,O,R,300.0,Fire-resistive,3,91174,non
H2929,2016,1.0,0,V,V,V,U,320.0,Non-combustible,without,31555,non
H12846,2012,1.0,0,N,V,V,U,1360.0,Non-combustible,without,42218,oui
H19888,2016,0.5,1,V,N,O,R,4300.0,Non-combustible,4,83086,non
H15082,2013,1.0,1,V,N,O,R,978.0,Wood-framed,5,75119,non
H18472,2014,0.5,0,V,N,O,R,830.0,Non-combustible,5,13203,oui
H17379,2013,1.0,0,V,N,O,R,564.0,Non-combustible,2,13205,non
H6345,2015,1.0,0,V,N,O,R,630.0,Non-combustible,5,62108,non
H18468,2014,1.0,1,V,N,O,R,4776.0,Non-combustible,6,44109,non
H7240,2013,1.0,1,N,V,V,U,370.0,Non-combustible,without,95563,non
H6159,2012,1.0,0,N,V,V,U,400.0,Wood-framed,without,6083,non
H5219,2013,0.5,0,V,N,O,R,760.0,Ordinary,4,64483,non
H7395,2012,0.5,0,V,V,V,U,175.0,Fire-resistive,without,35238,non
H1927,2015,1.0,0,V,V,V,U,1780.0,Non-combustible,without,34902,non
H15846,2014,0.5,1,V,V,V,U,,Non-combustible,without,,non
H13651,2012,1.0,0,N,V,V,U,250.0,Non-combustible,without,64122,non
H6329,2015,1.0,0,N,V,V,U,2712.0,Non-combustible,without,30341,non
H13001,2012,1.0,0,V,N,O,R,1255.0,Fire-resistive,4,44154,non
H2490,2013,1.0,0,V,N,O,R,1427.0,Non-combustible,6,13202,oui
H1675,2016,0.5,1,V,N,O,R,1068.0,Non-combustible,3,83126,oui
H4487,2012,1.0,1,N,V,V,U,949.0,Wood-framed,without,75115,non
H16206,2014,1.0,1,V,N,O,R,380.0,Wood-framed,4,75119,non
H16125,2012,1.0,1,V,N,O,R,2665.0,Ordinary,4,33318,non
H17711,2013,1.0,0,V,N,O,R,4388.0,Fire-resistive,6,17291,non
H15191,2013,1.0,1,V,N,O,R,780.0,Ordinary,1,92007,non
H1926,2012,1.0,0,V,V,V,U,2000.0,Non-combustible,without,34032,non
H2661,2012,0.5,1,V,V,V,U,1270.0,Non-combustible,without,56181,non
H3965,2013,1.0,0,V,N,O,R,2178.0,Fire-resistive,4,36044,oui
H6270,2016,0.5,0,V,N,O,R,1675.0,Non-combustible,5,13001,non
H4408,2013,0.5,0,V,V,V,U,400.0,Fire-resistive,without,17300,non
H18449,2014,0.5,1,V,N,O,R,2458.0,Non-combustible,2,65282,non
H16691,2013,1.0,0,V,N,O,R,535.0,Ordinary,4,92002,oui
H15761,2013,0.5,1,V,N,O,R,378.0,Non-combustible,2,78172,non
H15476,2012,1.0,0,V,N,O,R,600.0,Non-combustible,4,78646,non
H17742,2014,0.5,0,V,N,O,R,400.0,Non-combustible,4,31555,non
H12721,2016,0.5,0,N,V,V,U,400.0,Ordinary,without,93059,non
H617,2012,1.0,1,V,V,V,U,1500.0,Wood-framed,without,75114,non
H16453,2013,1.0,1,V,N,O,R,1400.0,Ordinary,6,93027,oui
H13774,2012,1.0,0,N,V,V,U,2335.0,Ordinary,without,94058,oui
H3463,2013,0.5,1,V,V,V,U,400.0,Wood-framed,without,75105,oui
H3672,2013,0.5,0,N,V,V,U,300.0,Wood-framed,without,6073,non
H16956,2013,1.0,0,V,N,O,R,800.0,Ordinary,4,92051,oui
H3922,2014,1.0,0,V,V,V,U,330.0,Fire-resistive,without,91174,non
H13864,2012,1.0,0,N,V,V,U,540.0,Non-combustible,without,68224,non
H17184,2013,1.0,0,V,N,O,R,1696.0,Wood-framed,5,6029,non
H3600,2016,1.0,0,V,V,V,U,800.0,Non-combustible,without,44109,non
H6058,2013,1.0,1,N,V,V,U,200.0,Wood-framed,without,6048,oui
H14108,2013,1.0,0,N,V,V,U,3619.0,Ordinary,without,93051,non
H4290,2015,1.0,0,V,N,O,R,2880.0,Fire-resistive,5,13086,oui
H16615,2016,0.5,1,V,N,O,R,1157.0,Ordinary,5,92026,non
H18831,2014,1.0,0,V,N,O,R,1100.0,Non-combustible,7,64122,non
H7250,2015,1.0,0,V,N,O,R,2100.0,Non-combustible,4,38421,non
H15932,2013,1.0,1,V,N,O,R,800.0,Non-combustible,3,34108,oui
H17421,2014,1.0,1,V,N,O,R,2604.0,Non-combustible,1,38151,non
H333,2013,0.5,0,V,N,O,R,1083.0,Non-combustible,5,63113,non
H15819,2012,1.0,1,V,N,O,R,12287.0,Ordinary,8,92044,non
H6189,2012,1.0,0,V,N,O,R,300.0,Fire-resistive,3,74085,non
H13902,2014,1.0,1,V,N,O,R,1052.0,Non-combustible,5,76351,oui
H3741,2012,1.0,1,V,V,V,U,300.0,Ordinary,without,33063,non
H14261,2014,1.0,0,N,V,V,U,870.0,Wood-framed,without,6088,non
H5782,2013,0.5,0,V,V,V,U,1850.0,Ordinary,without,92004,non
H3403,2012,1.0,0,V,V,V,U,700.0,Fire-resistive,without,74119,non
H19143,2014,1.0,1,V,N,O,R,1200.0,Ordinary,5,33063,non
H7258,2013,1.0,0,V,N,O,R,3255.0,Non-combustible,4,66037,non
H18660,2016,1.0,0,V,N,O,R,1510.0,Fire-resistive,4,10387,non
H17680,2012,1.0,0,V,N,O,R,1730.0,Fire-resistive,3,27229,non
H6780,2013,0.5,0,V,V,V,U,1362.0,Non-combustible,without,38314,oui
H7274,2012,1.0,1,N,V,V,U,747.0,Wood-framed,without,75105,non
H28,2012,1.0,0,V,V,V,U,501.0,Non-combustible,without,69091,non
H19877,2016,0.5,1,V,N,O,R,615.0,Non-combustible,3,31555,non
H4432,2013,0.5,0,V,V,V,U,146.0,Non-combustible,without,59107,non
H3731,2012,1.0,0,V,V,V,U,850.0,Non-combustible,without,90039,non
H14468,2015,1.0,1,N,V,V,U,2464.0,Non-combustible,without,95018,oui
H17975,2012,1.0,0,V,N,O,R,850.0,Ordinary,5,2B033,non
H15838,2016,0.5,1,V,N,O,R,4100.0,Ordinary,>=10,92012,non
H543,2012,1.0,1,V,N,O,R,676.0,Non-combustible,4,31555,non
H2800,2013,1.0,0,V,V,V,U,4429.0,Non-combustible,without,68278,oui
H13728,2015,1.0,0,V,N,O,R,1700.0,Non-combustible,3,30133,non
H14878,2012,1.0,1,N,V,V,U,2096.0,Wood-framed,without,75106,oui
H12759,2015,1.0,0,N,V,V,U,1731.0,Non-combustible,without,83047,non
H7410,2014,1.0,0,V,V,V,U,260.0,Wood-framed,without,6083,non
H6671,2016,0.5,0,N,V,V,U,414.0,Ordinary,without,93006,non
H18436,2014,0.5,0,V,N,O,R,332.0,Ordinary,3,83137,non
H14960,2012,1.0,0,V,N,O,R,320.0,Non-combustible,3,76254,non
H2422,2016,1.0,0,V,N,O,R,5885.0,Non-combustible,6,29039,non
H19862,2016,0.5,1,V,N,O,R,4230.0,Non-combustible,8,21231,non
H5841,2012,1.0,0,V,N,O,R,2210.0,Non-combustible,3,63113,non
H5607,2015,1.0,0,V,N,O,R,950.0,Non-combustible,3,30189,oui
H13082,2013,1.0,0,N,V,V,U,528.0,Ordinary,without,92049,non
H14014,2012,1.0,0,N,V,V,U,160.0,Fire-resistive,without,91174,non
H15796,2016,1.0,1,V,N,O,R,350.0,Non-combustible,3,83137,non
H16576,2013,1.0,1,V,N,O,R,1155.0,Ordinary,4,33063,non
H3712,2013,1.0,0,V,V,V,U,2306.0,Fire-resistive,without,7349,non
H13789,2014,1.0,0,N,V,V,U,430.0,Non-combustible,without,66136,non
H6985,2012,1.0,0,N,V,V,U,5781.0,Non-combustible,without,11069,non
H13360,2014,1.0,0,N,V,V,U,450.0,Non-combustible,without,13205,non
H17896,2014,1.0,1,V,N,O,R,3050.0,Non-combustible,8,64122,non
H5487,2015,1.0,0,V,V,V,U,850.0,Fire-resistive,without,5110,non
H2305,2016,0.5,0,V,V,V,U,300.0,Wood-framed,without,65440,non
H13439,2012,1.0,0,N,V,V,U,1100.0,Ordinary,without,92004,oui
H12901,2012,1.0,0,N,V,V,U,1614.0,Fire-resistive,without,84137,non
H13626,2014,1.0,0,N,V,V,U,2957.0,Ordinary,without,38185,oui
H6171,2012,1.0,0,N,V,V,U,390.0,Non-combustible,without,13206,non
H13512,2013,1.0,1,N,V,V,U,387.0,Ordinary,without,92035,oui
H15560,2013,1.0,1,V,N,O,R,1540.0,Wood-framed,7,75114,non
H6549,2013,0.5,0,N,V,V,U,560.0,Fire-resistive,without,54159,non
